Javadoc coverage metrics,Mon, 12 Nov 2018 23:17:11 IST
Method,JLOC
"nu.yakutomi.campuscafe.ExampleInstrumentedTest.useAppContext()",0
"nu.yakutomi.campuscafe.ExampleUnitTest.addition_isCorrect()",0
"nu.yakutomi.campuscafe.ItemsAdapter.ItemsAdapter(ArrayList<ItemsModel>,Context)",0
"nu.yakutomi.campuscafe.ItemsAdapter.MyViewHolder.MyViewHolder(View)",0
"nu.yakutomi.campuscafe.ItemsAdapter.getCart()",0
"nu.yakutomi.campuscafe.ItemsAdapter.getItemCount()",0
"nu.yakutomi.campuscafe.ItemsAdapter.onBindViewHolder(MyViewHolder,int)",0
"nu.yakutomi.campuscafe.ItemsAdapter.onCreateViewHolder(ViewGroup,int)",0
"nu.yakutomi.campuscafe.ItemsModel.ItemsModel()",0
"nu.yakutomi.campuscafe.ItemsModel.ItemsModel(String,String,String)",0
"nu.yakutomi.campuscafe.ItemsModel.getItem()",0
"nu.yakutomi.campuscafe.ItemsModel.getPrice()",0
"nu.yakutomi.campuscafe.ItemsModel.getUid()",0
"nu.yakutomi.campuscafe.ItemsModel.setItem(String)",0
"nu.yakutomi.campuscafe.ItemsModel.setPrice(String)",0
"nu.yakutomi.campuscafe.LoginActivity.firebaseAuthWithGoogle(GoogleSignInAccount)",0
"nu.yakutomi.campuscafe.LoginActivity.onActivityResult(int,int,Intent)",0
"nu.yakutomi.campuscafe.LoginActivity.onCreate(Bundle)",0
"nu.yakutomi.campuscafe.LoginActivity.signIn()",0
"nu.yakutomi.campuscafe.LoginActivity.signOut()",0
"nu.yakutomi.campuscafe.LoginActivity.updateUI(FirebaseUser)",0
"nu.yakutomi.campuscafe.MenuFragment.onCreate(Bundle)",0
"nu.yakutomi.campuscafe.MenuFragment.onCreateOptionsMenu(Menu,MenuInflater)",0
"nu.yakutomi.campuscafe.MenuFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",0
"nu.yakutomi.campuscafe.NavDrawerActivity.getMenuObj()",0
"nu.yakutomi.campuscafe.NavDrawerActivity.onBackPressed()",0
"nu.yakutomi.campuscafe.NavDrawerActivity.onCreate(Bundle)",0
"nu.yakutomi.campuscafe.NavDrawerActivity.onCreateOptionsMenu(Menu)",0
"nu.yakutomi.campuscafe.NavDrawerActivity.onNavigationItemSelected(MenuItem)",0
"nu.yakutomi.campuscafe.NavDrawerActivity.onOptionsItemSelected(MenuItem)",0
"nu.yakutomi.campuscafe.OrderHistoryFragment.onCreate(Bundle)",0
"nu.yakutomi.campuscafe.OrderHistoryFragment.onCreateOptionsMenu(Menu,MenuInflater)",0
"nu.yakutomi.campuscafe.OrderHistoryFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",0
"nu.yakutomi.campuscafe.OrderHistoryModel.OrderHistoryModel()",0
"nu.yakutomi.campuscafe.OrderHistoryModel.OrderHistoryModel(String,String)",0
"nu.yakutomi.campuscafe.OrderHistoryModel.getItem()",0
"nu.yakutomi.campuscafe.OrderHistoryModel.getQuantity()",0
"nu.yakutomi.campuscafe.OrderHistoryModel.setItem(String)",0
"nu.yakutomi.campuscafe.OrderHistoryModel.setQuantity(String)",0
"nu.yakutomi.campuscafe.SplashActivity.onCreate(Bundle)",0
"nu.yakutomi.campuscafe.TimestampAdapter.MyViewHolder.MyViewHolder(View)",0
"nu.yakutomi.campuscafe.TimestampAdapter.TimestampAdapter(ArrayList<TimestampModel>,Context)",0
"nu.yakutomi.campuscafe.TimestampAdapter.getItemCount()",0
"nu.yakutomi.campuscafe.TimestampAdapter.onBindViewHolder(MyViewHolder,int)",0
"nu.yakutomi.campuscafe.TimestampAdapter.onCreateViewHolder(ViewGroup,int)",0
"nu.yakutomi.campuscafe.TimestampModel.TimestampModel()",0
"nu.yakutomi.campuscafe.TimestampModel.TimestampModel(String)",0
"nu.yakutomi.campuscafe.TimestampModel.getTimestamp()",0
"nu.yakutomi.campuscafe.TimestampModel.setTimestamp(String)",0

Class,Jf,JLOC,Jm
"nu.yakutomi.campuscafe.ExampleInstrumentedTest",100.00%,5,0.00%
"nu.yakutomi.campuscafe.ExampleUnitTest",100.00%,5,0.00%
"nu.yakutomi.campuscafe.ItemsAdapter",0.00%,0,0.00%
"nu.yakutomi.campuscafe.ItemsAdapter.MyViewHolder",0.00%,0,0.00%
"nu.yakutomi.campuscafe.ItemsModel",0.00%,0,0.00%
"nu.yakutomi.campuscafe.LoginActivity",0.00%,0,0.00%
"nu.yakutomi.campuscafe.MenuFragment",0.00%,0,0.00%
"nu.yakutomi.campuscafe.NavDrawerActivity",0.00%,0,0.00%
"nu.yakutomi.campuscafe.OrderHistoryFragment",0.00%,0,0.00%
"nu.yakutomi.campuscafe.OrderHistoryModel",0.00%,0,0.00%
"nu.yakutomi.campuscafe.SplashActivity",0.00%,0,0.00%
"nu.yakutomi.campuscafe.TimestampAdapter",0.00%,0,0.00%
"nu.yakutomi.campuscafe.TimestampAdapter.MyViewHolder",0.00%,0,0.00%
"nu.yakutomi.campuscafe.TimestampModel",0.00%,0,0.00%

Package,Jc,Jf,JLOC,Jm
"nu.yakutomi.campuscafe",14.29%,0.00%,10,0.00%

Module,Jc,Jf,JLOC,Jm
"app",14.29%,0.00%,10,0.00%

Project,Jc,Jf,JLOC,Jm
"project",16.67%,0.00%,10,0.00%

